mlb_game_id,date,status,home_team,home_team_id,away_team,away_team_id,home_score,away_score,home_starter,home_starter_id,away_starter,away_starter_id
823649,2026-03-26,Scheduled,New York Mets,121,Pittsburgh Pirates,134,,,TBD,,TBD,
823812,2026-03-26,Scheduled,Milwaukee Brewers,158,Chicago White Sox,145,,,TBD,,TBD,
824704,2026-03-26,Scheduled,Chicago Cubs,112,Washington Nationals,120,,,TBD,,TBD,
824865,2026-03-26,Scheduled,Baltimore Orioles,110,Minnesota Twins,142,,,TBD,,TBD,
824541,2026-03-26,Scheduled,Cincinnati Reds,113,Boston Red Sox,111,,,TBD,,Garrett Crochet,676979.0
824218,2026-03-26,Scheduled,Houston Astros,117,Los Angeles Angels,108,,,Hunter Brown,686613.0,TBD,
823325,2026-03-26,Scheduled,San Diego Padres,135,Detroit Tigers,116,,,TBD,,Tarik Skubal,669373.0
823081,2026-03-26,Scheduled,St. Louis Cardinals,138,Tampa Bay Rays,139,,,TBD,,Drew Rasmussen,656876.0
823486,2026-03-26,Scheduled,Philadelphia Phillies,143,Texas Rangers,140,,,TBD,,TBD,
823974,2026-03-26,Scheduled,Los Angeles Dodgers,119,Arizona Diamondbacks,109,,,TBD,,TBD,
823163,2026-03-26,Scheduled,Seattle Mariners,136,Cleveland Guardians,114,,,TBD,,TBD,
823243,2026-03-27,Scheduled,San Francisco Giants,137,New York Yankees,147,,,TBD,,TBD,
822839,2026-03-27,Scheduled,Toronto Blue Jays,141,Athletics,133,,,TBD,,TBD,
823893,2026-03-27,Scheduled,Miami Marlins,146,Colorado Rockies,115,,,Sandy Alcantara,645261.0,TBD,
824946,2026-03-27,Scheduled,Atlanta Braves,144,Kansas City Royals,118,,,TBD,,TBD,
824216,2026-03-27,Scheduled,Houston Astros,117,Los Angeles Angels,108,,,TBD,,TBD,
823324,2026-03-27,Scheduled,San Diego Padres,135,Detroit Tigers,116,,,TBD,,TBD,
823162,2026-03-27,Scheduled,Seattle Mariners,136,Cleveland Guardians,114,,,TBD,,TBD,
